Metric,Value
std,618510.8866385735
std_non_zero,635589.8958155611
min,0.0
max,75569600.99983215
exponential_lambda_all,1.8320770727694903e-05
exponential_mean_all,54582.85652187837
ks_statistic_all,0.400169159943746
ks_p_value_all,0.0
qq_r_squared_all,0.6043078053666332
follows_exponential_all,False
exponential_lambda_nonzero,1.7341772961237712e-05
exponential_mean_nonzero,57664.230885457764
ks_statistic_nonzero,0.3901346411139376
ks_p_value_nonzero,0.0
qq_r_squared_nonzero,0.6239308351489992
follows_exponential_nonzero,False
events_below_first_percentile,0
events_below_first_percentile_percentage,0.0
events_below_fifth_percentile,0
events_below_fifth_percentile_percentage,0.0
events_below_tenth_percentile,26214
events_below_tenth_percentile_percentage,9.997749800723877
